Kepler-102,16.1456994,0.1162,0.089
Kepler-102,27.453592,0.1656,0.1
Kepler-104,11.427548,0.094,
Kepler-104,23.668205,0.153,
Kepler-104,51.755394,0.257,
Kepler-106,6.16486,,
Kepler-106,13.5708,,
Kepler-106,23.9802,,
Kepler-106,43.8445,,
Kepler-107,3.1800218,0.04544,0.1
Kepler-107,4.901452,0.06064,0.08
Kepler-107,7.95839,0.08377,0.11
Kepler-107,14.749143,0.12638,0.1
Kepler-1073,8.67888593,,
Kepler-1073,4.02582254,,
Kepler-1073,2.50476003,,
Kepler-11,10.3039,0.091,0.045
Kepler-11,13.0241,0.107,0.026
Kepler-11,22.6845,0.155,0.004
Kepler-11,31.9996,0.195,0.012
Kepler-11,46.6888,0.25,0.013
Kepler-11,118.3807,0.466,0.15
Kepler-1130,5.45298175,,
Kepler-1130,3.26663995,,
Kepler-1130,4.27225017,,
Kepler-114,5.188549,0.053,
Kepler-114,8.041,,
Kepler-114,11.776,,
Kepler-122,5.766193,0.064,
Kepler-122,12.465988,0.108,
Kepler-122,21.587475,0.155,
Kepler-122,37.993273,0.227,
Kepler-122,56.268,,
Kepler-124,3.410493,0.039,
Kepler-124,13.821375,0.1,
Kepler-124,30.950851,0.17,
Kepler-1254,9.99113313,,
Kepler-1254,3.60084276,,
Kepler-1254,5.72717226,,
Kepler-126,10.495711,0.099,
Kepler-126,21.869741,0.162,
Kepler-126,100.283134,0.448,
Kepler-127,14.435889,0.125,
Kepler-127,29.393195,0.2,
Kepler-127,48.630408,0.28,
Kepler-129,15.79,0.13,
Kepler-129,82.2,0.39,
Kepler-129,2646,4,0.15
Kepler-130,8.457458,0.079,
Kepler-130,27.50868,0.178,0
Kepler-130,87.517905,0.377,
Kepler-1311,11.1726994,,
Kepler-1311,2.53573424,,
Kepler-1311,197.5110016,,
Kepler-132,6.178196,0.067,
Kepler-132,6.414914,0.068,
Kepler-132,18.010199,0.136,
Kepler-132,110.2869374,,
Kepler-1321,11.12830484,,
Kepler-1321,2.22649109,,
Kepler-1321,5.72092009,,
Kepler-138,10.3134,0.0753,0.02
Kepler-138,13.7815,0.0913,0.017
Kepler-138,23.0923,0.1288,0.01
Kepler-138,38.23,0.1803,0.112
Kepler-1388,12.2854603,,
Kepler-1388,5.53608151,,
Kepler-1388,20.9568158,,
Kepler-1388,37.6327084,,
Kepler-142,2.024152,0.032,
Kepler-142,4.761702,0.057,
Kepler-142,41.809118,0.242,
Kepler-1468,8.23984869,,
Kepler-1468,3.54553021,,
Kepler-1468,19.59059906,,
Kepler-148,1.729366,0.028,
Kepler-148,4.180043,0.05,
Kepler-148,51.84688575,,
Kepler-149,29.198943,0.184,
Kepler-149,55.328328,0.281,
Kepler-149,160.018032,0.571,
Kepler-150,3.428054,0.044,
Kepler-150,7.381998,0.073,
Kepler-150,12.56093,0.104,
Kepler-150,30.826557,0.189,
Kepler-150,637.2093,1.24,
Kepler-1530,2.5904434,,
Kepler-1530,5.3227406,,
Kepler-1530,9.20761013,,
Kepler-154,33.040532,0.198,
Kepler-154,62.303276,0.303,
Kepler-154,20.54981883,,
Kepler-154,3.93276465,,
Kepler-154,9.91935684,,
Kepler-1542,3.95116882,,
Kepler-1542,2.89223021,,
Kepler-1542,5.99273738,,
Kepler-1542,5.10115756,,
Kepler-157,1.732342,0.028,
Kepler-157,13.5405,0.11,
Kepler-157,7.02573474,,
Kepler-160,4.309397,0.05511,
Kepler-160,13.699429,0.1192,
Kepler-160,30,0.17,
Kepler-164,5.03503,0.058,
Kepler-164,10.945723,0.097,
Kepler-164,28.986769,0.187,
Kepler-166,7.650254,0.072,
Kepler-166,34.260281,0.195,
Kepler-166,1.55400393,,
Kepler-1669,9.51216,,
Kepler-1669,1.60932005,,
Kepler-167,4.3931539,0.04825,0
Kepler-167,7.406106,0.0684,0
Kepler-167,21.80379,0.1404,0
Kepler-167,1071.23205,1.883,0.29
Kepler-169,3.250619,0.04,
Kepler-169,6.195469,0.062,
Kepler-169,8.348125,0.075,
Kepler-169,13.767102,0.105,
