Host Name,Possible Missing Planets,Ratio
K2-16,7.618800 +/- 0.380940,1:1
K2-16,19.078630 +/- 0.953932,1:1
K2-16,1.357890 +/- 0.135789,2:1
K2-16,3.809400 +/- 0.380940,2:1
K2-16,9.539315 +/- 0.953932,2:1
K2-16,0.905260 +/- 0.135789,3:1
K2-16,2.539600 +/- 0.380940,3:1
K2-16,6.359543 +/- 0.953932,3:1
K2-16,0.543156 +/- 0.135789,5:2
K2-16,1.086312 +/- 0.135789,5:2
K2-16,1.523760 +/- 0.380940,5:2
K2-16,3.047520 +/- 0.380940,5:2
K2-16,3.815726 +/- 0.953932,5:2
K2-16,7.631452 +/- 0.953932,5:2
K2-165,1.177496 +/- 0.117750,2:1
K2-165,2.191372 +/- 0.219137,2:1
K2-165,7.050681 +/- 0.705068,2:1
K2-165,0.784997 +/- 0.117750,3:1
K2-165,1.460915 +/- 0.219137,3:1
K2-165,4.700454 +/- 0.705068,3:1
K2-165,0.470998 +/- 0.117750,5:2
K2-165,0.941997 +/- 0.117750,5:2
K2-165,0.876549 +/- 0.219137,5:2
K2-165,1.753098 +/- 0.219137,5:2
K2-165,2.820272 +/- 0.705068,5:2
K2-165,5.640544 +/- 0.705068,5:2
K2-165,2.354992 +/- 0.117750,1:1
K2-165,4.382745 +/- 0.219137,1:1
K2-165,14.101361 +/- 0.705068,1:1
K2-183,0.093857 +/- 0.023464,5:2
K2-183,0.187714 +/- 0.023464,5:2
K2-183,2.157598 +/- 0.539400,5:2
K2-183,4.315197 +/- 0.539400,5:2
K2-183,4.524069 +/- 1.131017,5:2
K2-183,9.048138 +/- 1.131017,5:2
K2-183,0.156428 +/- 0.023464,3:2
K2-183,0.312857 +/- 0.023464,3:2
K2-183,3.595997 +/- 0.539400,3:2
K2-183,7.191995 +/- 0.539400,3:2
K2-183,7.540115 +/- 1.131017,3:2
K2-183,15.080229 +/- 1.131017,3:2
K2-183,0.469285 +/- 0.023464,1:1
K2-183,10.787992 +/- 0.539400,1:1
K2-183,22.620344 +/- 1.131017,1:1
K2-187,0.258003 +/- 0.038700,3:1
K2-187,0.957171 +/- 0.143576,3:1
K2-187,2.383195 +/- 0.357479,3:1
K2-187,4.535543 +/- 0.680331,3:1
K2-187,0.154802 +/- 0.038700,5:2
K2-187,0.309604 +/- 0.038700,5:2
K2-187,0.574302 +/- 0.143576,5:2
K2-187,1.148605 +/- 0.143576,5:2
K2-187,1.429917 +/- 0.357479,5:2
K2-187,2.859834 +/- 0.357479,5:2
K2-187,2.721326 +/- 0.680331,5:2
K2-187,5.442652 +/- 0.680331,5:2
K2-187,0.258003 +/- 0.038700,3:2
K2-187,0.516007 +/- 0.038700,3:2
K2-187,0.957171 +/- 0.143576,3:2
K2-187,1.914341 +/- 0.143576,3:2
K2-187,2.383195 +/- 0.357479,3:2
K2-187,4.766389 +/- 0.357479,3:2
K2-187,4.535543 +/- 0.680331,3:2
K2-187,9.071086 +/- 0.680331,3:2
K2-187,0.774010 +/- 0.038700,1:1
K2-187,2.871512 +/- 0.143576,1:1
K2-187,7.149584 +/- 0.357479,1:1
K2-187,13.606629 +/- 0.680331,1:1
K2-219,1.950643 +/- 0.195064,2:1
K2-219,3.333835 +/- 0.333384,2:1
K2-219,5.568639 +/- 0.556864,2:1
K2-219,0.780257 +/- 0.195064,5:2
K2-219,1.560515 +/- 0.195064,5:2
K2-219,1.333534 +/- 0.333384,5:2
K2-219,2.667068 +/- 0.333384,5:2
K2-219,2.227456 +/- 0.556864,5:2
K2-219,4.454911 +/- 0.556864,5:2
K2-219,1.300429 +/- 0.195064,3:2
K2-219,2.600858 +/- 0.195064,3:2
K2-219,2.222557 +/- 0.333384,3:2
K2-219,4.445113 +/- 0.333384,3:2
K2-219,3.712426 +/- 0.556864,3:2
K2-219,7.424852 +/- 0.556864,3:2
K2-219,3.901287 +/- 0.195064,1:1
K2-219,6.667670 +/- 0.333384,1:1
K2-219,11.137278 +/- 0.556864,1:1
K2-233,1.233750 +/- 0.123375,2:1
K2-233,3.530025 +/- 0.353003,2:1
K2-233,12.182250 +/- 1.218225,2:1
K2-233,0.822500 +/- 0.123375,3:2
K2-233,1.645000 +/- 0.123375,3:2
K2-233,2.353350 +/- 0.353003,3:2
K2-233,4.706700 +/- 0.353003,3:2
K2-233,8.121500 +/- 1.218225,3:2
K2-233,16.243000 +/- 1.218225,3:2
K2-233,2.467500 +/- 0.123375,1:1
K2-233,7.060050 +/- 0.353003,1:1
K2-233,24.364500 +/- 1.218225,1:1
K2-239,1.746667 +/- 0.262000,3:1
K2-239,2.591667 +/- 0.388750,3:1
K2-239,3.371667 +/- 0.505750,3:1
K2-239,1.048000 +/- 0.262000,5:2
K2-239,2.096000 +/- 0.262000,5:2
K2-239,1.555000 +/- 0.388750,5:2
K2-239,3.110000 +/- 0.388750,5:2
K2-239,2.023000 +/- 0.505750,5:2
K2-239,4.046000 +/- 0.505750,5:2
K2-239,1.746667 +/- 0.262000,3:2
K2-239,3.493333 +/- 0.262000,3:2
K2-239,2.591667 +/- 0.388750,3:2
K2-239,5.183333 +/- 0.388750,3:2
K2-239,3.371667 +/- 0.505750,3:2
K2-239,6.743333 +/- 0.505750,3:2
K2-239,5.240000 +/- 0.262000,1:1
K2-239,7.775000 +/- 0.388750,1:1
K2-239,10.115000 +/- 0.505750,1:1
K2-266,0.329262 +/- 0.032926,2:1
K2-266,3.907000 +/- 0.390700,2:1
K2-266,7.348500 +/- 0.734850,2:1
K2-266,9.741000 +/- 0.974100,2:1
K2-266,0.131705 +/- 0.032926,5:2
K2-266,0.263410 +/- 0.032926,5:2
K2-266,1.562800 +/- 0.390700,5:2
K2-266,3.125600 +/- 0.390700,5:2
K2-266,2.939400 +/- 0.734850,5:2
K2-266,5.878800 +/- 0.734850,5:2
K2-266,3.896400 +/- 0.974100,5:2
K2-266,7.792800 +/- 0.974100,5:2
K2-266,0.219508 +/- 0.032926,3:2
K2-266,0.439016 +/- 0.032926,3:2
K2-266,2.604667 +/- 0.390700,3:2
K2-266,5.209333 +/- 0.390700,3:2
K2-266,4.899000 +/- 0.734850,3:2
K2-266,9.798000 +/- 0.734850,3:2
K2-266,6.494000 +/- 0.974100,3:2
K2-266,12.988000 +/- 0.974100,3:2
K2-266,0.658524 +/- 0.032926,1:1
K2-266,7.814000 +/- 0.390700,1:1
K2-266,14.697000 +/- 0.734850,1:1
K2-266,19.482000 +/- 0.974100,1:1
K2-268,1.075838 +/- 0.107584,2:1
K2-268,4.663763 +/- 0.466376,2:1
K2-268,2.264299 +/- 0.226430,2:1
K2-268,3.065622 +/- 0.306562,2:1
K2-268,13.135285 +/- 1.313529,2:1
K2-268,0.430335 +/- 0.107584,5:2
K2-268,0.860670 +/- 0.107584,5:2
K2-268,1.865505 +/- 0.466376,5:2
K2-268,3.731011 +/- 0.466376,5:2
K2-268,0.905720 +/- 0.226430,5:2
K2-268,1.811439 +/- 0.226430,5:2
K2-268,1.226249 +/- 0.306562,5:2
K2-268,2.452497 +/- 0.306562,5:2
K2-268,5.254114 +/- 1.313529,5:2
K2-268,10.508228 +/- 1.313529,5:2
K2-268,0.717225 +/- 0.107584,3:2
K2-268,1.434451 +/- 0.107584,3:2
K2-268,3.109176 +/- 0.466376,3:2
K2-268,6.218351 +/- 0.466376,3:2
K2-268,1.509533 +/- 0.226430,3:2
K2-268,3.019065 +/- 0.226430,3:2
K2-268,2.043748 +/- 0.306562,3:2
K2-268,4.087495 +/- 0.306562,3:2
K2-268,8.756857 +/- 1.313529,3:2
K2-268,17.513713 +/- 1.313529,3:2
K2-268,2.151676 +/- 0.107584,1:1
K2-268,9.327527 +/- 0.466376,1:1
K2-268,4.528598 +/- 0.226430,1:1
K2-268,6.131243 +/- 0.306562,1:1
K2-268,26.270570 +/- 1.313529,1:1
K2-285,0.694349 +/- 0.173587,5:2
K2-285,1.388698 +/- 0.173587,5:2
K2-285,1.427610 +/- 0.356902,5:2
K2-285,2.855219 +/- 0.356902,5:2
K2-285,2.091164 +/- 0.522791,5:2
K2-285,4.182328 +/- 0.522791,5:2
K2-285,2.952578 +/- 0.738145,5:2
K2-285,5.905156 +/- 0.738145,5:2
K2-285,1.157248 +/- 0.173587,3:2
K2-285,2.314497 +/- 0.173587,3:2
K2-285,2.379349 +/- 0.356902,3:2
K2-285,4.758699 +/- 0.356902,3:2
K2-285,3.485273 +/- 0.522791,3:2
K2-285,6.970547 +/- 0.522791,3:2
K2-285,4.920963 +/- 0.738145,3:2
K2-285,9.841927 +/- 0.738145,3:2
K2-285,3.471745 +/- 0.173587,1:1
K2-285,7.138048 +/- 0.356902,1:1
K2-285,10.455820 +/- 0.522791,1:1
K2-285,14.762890 +/- 0.738145,1:1
K2-352,1.832956 +/- 0.183296,2:1
K2-352,4.117443 +/- 0.411744,2:1
K2-352,7.435694 +/- 0.743569,2:1
K2-352,1.221971 +/- 0.183296,3:1
K2-352,2.744962 +/- 0.411744,3:1
K2-352,4.957129 +/- 0.743569,3:1
K2-352,1.221971 +/- 0.183296,3:2
K2-352,2.443941 +/- 0.183296,3:2
K2-352,2.744962 +/- 0.411744,3:2
K2-352,5.489923 +/- 0.411744,3:2
K2-352,4.957129 +/- 0.743569,3:2
K2-352,9.914258 +/- 0.743569,3:2
K2-352,0.733182 +/- 0.183296,5:2
K2-352,1.466365 +/- 0.183296,5:2
K2-352,1.646977 +/- 0.411744,5:2
K2-352,3.293954 +/- 0.411744,5:2
K2-352,2.974277 +/- 0.743569,5:2
K2-352,5.948555 +/- 0.743569,5:2
K2-368,1.675199 +/- 0.251280,3:1
K2-368,3.220062 +/- 0.483009,3:1
K2-368,6.733695 +/- 1.010054,3:1
K2-368,1.675199 +/- 0.251280,3:2
K2-368,3.350399 +/- 0.251280,3:2
K2-368,3.220062 +/- 0.483009,3:2
K2-368,6.440124 +/- 0.483009,3:2
K2-368,6.733695 +/- 1.010054,3:2
K2-368,13.467390 +/- 1.010054,3:2
K2-368,1.005120 +/- 0.251280,5:2
K2-368,2.010239 +/- 0.251280,5:2
K2-368,1.932037 +/- 0.483009,5:2
K2-368,3.864074 +/- 0.483009,5:2
K2-368,4.040217 +/- 1.010054,5:2
K2-368,8.080434 +/- 1.010054,5:2
K2-381,2.646311 +/- 0.396947,3:1
K2-381,5.344885 +/- 0.801733,3:1
K2-381,8.934341 +/- 1.340151,3:1
K2-381,1.587787 +/- 0.396947,5:2
K2-381,3.175573 +/- 0.396947,5:2
K2-381,3.206931 +/- 0.801733,5:2
K2-381,6.413862 +/- 0.801733,5:2
K2-381,5.360605 +/- 1.340151,5:2
K2-381,10.721209 +/- 1.340151,5:2
K2-381,2.646311 +/- 0.396947,3:2
K2-381,5.292622 +/- 0.396947,3:2
K2-381,5.344885 +/- 0.801733,3:2
K2-381,10.689771 +/- 0.801733,3:2
K2-381,8.934341 +/- 1.340151,3:2
K2-381,17.868682 +/- 1.340151,3:2
K2-381,7.938933 +/- 0.396947,1:1
K2-381,16.034656 +/- 0.801733,1:1
K2-381,26.803023 +/- 1.340151,1:1
K2-384,0.446305 +/- 0.111576,5:2
K2-384,0.892611 +/- 0.111576,5:2
K2-384,0.838953 +/- 0.209738,5:2
K2-384,1.677906 +/- 0.209738,5:2
K2-384,1.335916 +/- 0.333979,5:2
K2-384,2.671833 +/- 0.333979,5:2
K2-384,1.943009 +/- 0.485752,5:2
K2-384,3.886017 +/- 0.485752,5:2
K2-384,2.725498 +/- 0.681374,5:2
K2-384,5.450996 +/- 0.681374,5:2
K2-384,2.231527 +/- 0.111576,1:1
K2-384,4.194766 +/- 0.209738,1:1
K2-384,6.679582 +/- 0.333979,1:1
K2-384,9.715043 +/- 0.485752,1:1
K2-384,13.627490 +/- 0.681374,1:1
K2-58,3.526270 +/- 0.352627,2:1
K2-58,1.268630 +/- 0.126863,2:1
K2-58,11.441350 +/- 1.144135,2:1
K2-58,2.350847 +/- 0.352627,3:1
K2-58,0.845753 +/- 0.126863,3:1
K2-58,7.627567 +/- 1.144135,3:1
K2-58,2.350847 +/- 0.352627,3:2
K2-58,4.701693 +/- 0.352627,3:2
K2-58,0.845753 +/- 0.126863,3:2
K2-58,1.691507 +/- 0.126863,3:2
K2-58,7.627567 +/- 1.144135,3:2
K2-58,15.255133 +/- 1.144135,3:2
K2-58,1.410508 +/- 0.352627,5:2
K2-58,2.821016 +/- 0.352627,5:2
K2-58,0.507452 +/- 0.126863,5:2
K2-58,1.014904 +/- 0.126863,5:2
K2-58,4.576540 +/- 1.144135,5:2
K2-58,9.153080 +/- 1.144135,5:2
K2-72,2.788606 +/- 0.278861,2:1
K2-72,7.594517 +/- 0.759452,2:1
K2-72,3.880089 +/- 0.388009,2:1
K2-72,12.079434 +/- 1.207943,2:1
K2-72,1.115442 +/- 0.278861,5:2
K2-72,2.230885 +/- 0.278861,5:2
K2-72,3.037807 +/- 0.759452,5:2
K2-72,6.075614 +/- 0.759452,5:2
K2-72,1.552036 +/- 0.388009,5:2
K2-72,3.104071 +/- 0.388009,5:2
K2-72,4.831774 +/- 1.207943,5:2
K2-72,9.663547 +/- 1.207943,5:2
K2-72,1.859071 +/- 0.278861,3:2
K2-72,3.718141 +/- 0.278861,3:2
K2-72,5.063011 +/- 0.759452,3:2
K2-72,10.126023 +/- 0.759452,3:2
K2-72,2.586726 +/- 0.388009,3:2
K2-72,5.173452 +/- 0.388009,3:2
K2-72,8.052956 +/- 1.207943,3:2
K2-72,16.105912 +/- 1.207943,3:2
K2-72,5.577212 +/- 0.278861,1:1
K2-72,15.189034 +/- 0.759452,1:1
K2-72,7.760178 +/- 0.388009,1:1
K2-72,24.158868 +/- 1.207943,1:1
K2-80,6.363933 +/- 0.954590,3:2
K2-80,12.727867 +/- 0.954590,3:2
K2-80,1.868333 +/- 0.280250,3:2
K2-80,3.736667 +/- 0.280250,3:2
K2-80,9.622418 +/- 1.443363,3:2
K2-80,19.244835 +/- 1.443363,3:2
K2-80,19.091800 +/- 0.954590,1:1
K2-80,5.605000 +/- 0.280250,1:1
K2-80,28.867253 +/- 1.443363,1:1
K2-80,9.545900 +/- 0.954590,2:1
K2-80,2.802500 +/- 0.280250,2:1
K2-80,14.433627 +/- 1.443363,2:1
K2-80,6.363933 +/- 0.954590,3:1
K2-80,1.868333 +/- 0.280250,3:1
K2-80,9.622418 +/- 1.443363,3:1
K2-80,3.818360 +/- 0.954590,5:2
K2-80,7.636720 +/- 0.954590,5:2
K2-80,1.121000 +/- 0.280250,5:2
K2-80,2.242000 +/- 0.280250,5:2
K2-80,5.773451 +/- 1.443363,5:2
K2-80,11.546901 +/- 1.443363,5:2
KOI-142,3.638823 +/- 0.545824,3:1
KOI-142,7.421640 +/- 1.113246,3:1
KOI-142,467.666667 +/- 70.150000,3:1
KOI-142,2.183294 +/- 0.545824,5:2
KOI-142,4.366588 +/- 0.545824,5:2
KOI-142,4.452984 +/- 1.113246,5:2
KOI-142,8.905968 +/- 1.113246,5:2
KOI-142,280.600000 +/- 70.150000,5:2
KOI-142,561.200000 +/- 70.150000,5:2
KOI-142,3.638823 +/- 0.545824,3:2
KOI-142,7.277647 +/- 0.545824,3:2
KOI-142,7.421640 +/- 1.113246,3:2
KOI-142,14.843280 +/- 1.113246,3:2
KOI-142,467.666667 +/- 70.150000,3:2
KOI-142,935.333333 +/- 70.150000,3:2
KOI-142,10.916470 +/- 0.545824,1:1
KOI-142,22.264920 +/- 1.113246,1:1
KOI-142,1403.000000 +/- 70.150000,1:1
KOI-351,2.336050 +/- 0.350408,3:1
KOI-351,2.906458 +/- 0.435969,3:1
KOI-351,19.912223 +/- 2.986833,3:1
KOI-351,30.646377 +/- 4.596957,3:1
KOI-351,41.638133 +/- 6.245720,3:1
KOI-351,70.202323 +/- 10.530349,3:1
KOI-351,110.533530 +/- 16.580030,3:1
KOI-351,4.816373 +/- 0.722456,3:1
KOI-351,1.401630 +/- 0.350408,5:2
KOI-351,2.803260 +/- 0.350408,5:2
KOI-351,1.743875 +/- 0.435969,5:2
KOI-351,3.487750 +/- 0.435969,5:2
KOI-351,11.947334 +/- 2.986833,5:2
KOI-351,23.894668 +/- 2.986833,5:2
KOI-351,18.387826 +/- 4.596957,5:2
KOI-351,36.775652 +/- 4.596957,5:2
KOI-351,24.982880 +/- 6.245720,5:2
KOI-351,49.965760 +/- 6.245720,5:2
KOI-351,42.121394 +/- 10.530349,5:2
KOI-351,84.242788 +/- 10.530349,5:2
KOI-351,66.320118 +/- 16.580030,5:2
KOI-351,132.640236 +/- 16.580030,5:2
KOI-351,2.889824 +/- 0.722456,5:2
KOI-351,5.779648 +/- 0.722456,5:2
KOI-351,7.008151 +/- 0.350408,1:1
KOI-351,8.719375 +/- 0.435969,1:1
KOI-351,59.736670 +/- 2.986833,1:1
KOI-351,91.939130 +/- 4.596957,1:1
KOI-351,124.914400 +/- 6.245720,1:1
KOI-351,210.606970 +/- 10.530349,1:1
KOI-351,331.600590 +/- 16.580030,1:1
KOI-351,14.449120 +/- 0.722456,1:1
KOI-94,1.871604 +/- 0.187160,2:1
KOI-94,5.211824 +/- 0.521182,2:1
KOI-94,11.171494 +/- 1.117149,2:1
KOI-94,27.160155 +/- 2.716016,2:1
KOI-94,1.247736 +/- 0.187160,3:1
KOI-94,3.474549 +/- 0.521182,3:1
KOI-94,7.447663 +/- 1.117149,3:1
KOI-94,18.106770 +/- 2.716016,3:1
KOI-94,0.748642 +/- 0.187160,5:2
KOI-94,1.497283 +/- 0.187160,5:2
KOI-94,2.084730 +/- 0.521182,5:2
KOI-94,4.169459 +/- 0.521182,5:2
KOI-94,4.468598 +/- 1.117149,5:2
KOI-94,8.937196 +/- 1.117149,5:2
KOI-94,10.864062 +/- 2.716016,5:2
KOI-94,21.728124 +/- 2.716016,5:2
KOI-94,3.743208 +/- 0.187160,1:1
KOI-94,10.423648 +/- 0.521182,1:1
KOI-94,22.342989 +/- 1.117149,1:1
KOI-94,54.320310 +/- 2.716016,1:1
Kepler-10,0.418745 +/- 0.041875,2:1
Kepler-10,22.647150 +/- 2.264715,2:1
Kepler-10,75.520000 +/- 7.552000,2:1
Kepler-10,0.279164 +/- 0.041875,3:1
Kepler-10,15.098100 +/- 2.264715,3:1
Kepler-10,50.346667 +/- 7.552000,3:1
Kepler-10,0.167498 +/- 0.041875,5:2
Kepler-10,0.334996 +/- 0.041875,5:2
Kepler-10,9.058860 +/- 2.264715,5:2
Kepler-10,18.117720 +/- 2.264715,5:2
Kepler-10,30.208000 +/- 7.552000,5:2
Kepler-10,60.416000 +/- 7.552000,5:2
Kepler-10,0.837491 +/- 0.041875,1:1
Kepler-10,45.294301 +/- 2.264715,1:1
Kepler-10,151.040000 +/- 7.552000,1:1
Kepler-100,2.295683 +/- 0.344353,3:2
Kepler-100,4.591367 +/- 0.344353,3:2
Kepler-100,4.271967 +/- 0.640795,3:2
Kepler-100,8.543933 +/- 0.640795,3:2
Kepler-100,11.777700 +/- 1.766655,3:2
Kepler-100,23.555400 +/- 1.766655,3:2
Kepler-100,6.887050 +/- 0.344353,1:1
Kepler-100,12.815900 +/- 0.640795,1:1
Kepler-100,35.333100 +/- 1.766655,1:1
Kepler-100,3.443525 +/- 0.344353,2:1
Kepler-100,6.407950 +/- 0.640795,2:1
Kepler-100,17.666550 +/- 1.766655,2:1
Kepler-100,2.295683 +/- 0.344353,3:1
Kepler-100,4.271967 +/- 0.640795,3:1
Kepler-100,11.777700 +/- 1.766655,3:1
Kepler-100,1.377410 +/- 0.344353,5:2
Kepler-100,2.754820 +/- 0.344353,5:2
Kepler-100,2.563180 +/- 0.640795,5:2
Kepler-100,5.126360 +/- 0.640795,5:2
Kepler-100,7.066620 +/- 1.766655,5:2
Kepler-100,14.133240 +/- 1.766655,5:2
Kepler-102,1.057393 +/- 0.264348,5:2
Kepler-102,2.114786 +/- 0.264348,5:2
Kepler-102,1.414278 +/- 0.353570,5:2
Kepler-102,2.828557 +/- 0.353570,5:2
Kepler-102,2.062353 +/- 0.515588,5:2
Kepler-102,4.124707 +/- 0.515588,5:2
Kepler-102,3.229140 +/- 0.807285,5:2
Kepler-102,6.458280 +/- 0.807285,5:2
Kepler-102,5.490718 +/- 1.372680,5:2
Kepler-102,10.981437 +/- 1.372680,5:2
Kepler-102,1.762322 +/- 0.264348,3:2
Kepler-102,3.524643 +/- 0.264348,3:2
Kepler-102,2.357131 +/- 0.353570,3:2
Kepler-102,4.714261 +/- 0.353570,3:2
Kepler-102,3.437256 +/- 0.515588,3:2
Kepler-102,6.874511 +/- 0.515588,3:2
Kepler-102,5.381900 +/- 0.807285,3:2
Kepler-102,10.763800 +/- 0.807285,3:2
Kepler-102,9.151197 +/- 1.372680,3:2
Kepler-102,18.302395 +/- 1.372680,3:2
Kepler-102,5.286965 +/- 0.264348,1:1
Kepler-102,7.071392 +/- 0.353570,1:1
Kepler-102,10.311767 +/- 0.515588,1:1
Kepler-102,16.145699 +/- 0.807285,1:1
Kepler-102,27.453592 +/- 1.372680,1:1
Kepler-104,3.809183 +/- 0.571377,3:1
Kepler-104,7.889402 +/- 1.183410,3:1
Kepler-104,17.251798 +/- 2.587770,3:1
Kepler-104,2.285510 +/- 0.571377,5:2
Kepler-104,4.571019 +/- 0.571377,5:2
Kepler-104,4.733641 +/- 1.183410,5:2
Kepler-104,9.467282 +/- 1.183410,5:2
Kepler-104,10.351079 +/- 2.587770,5:2
Kepler-104,20.702158 +/- 2.587770,5:2
Kepler-104,3.809183 +/- 0.571377,3:2
Kepler-104,7.618365 +/- 0.571377,3:2
Kepler-104,7.889402 +/- 1.183410,3:2
Kepler-104,15.778803 +/- 1.183410,3:2
Kepler-104,17.251798 +/- 2.587770,3:2
Kepler-104,34.503596 +/- 2.587770,3:2
Kepler-104,11.427548 +/- 0.571377,1:1
Kepler-104,23.668205 +/- 1.183410,1:1
Kepler-104,51.755394 +/- 2.587770,1:1
Kepler-106,2.054953 +/- 0.308243,3:2
Kepler-106,4.109907 +/- 0.308243,3:2
Kepler-106,4.523600 +/- 0.678540,3:2
Kepler-106,9.047200 +/- 0.678540,3:2
Kepler-106,7.993400 +/- 1.199010,3:2
Kepler-106,15.986800 +/- 1.199010,3:2
Kepler-106,14.614833 +/- 2.192225,3:2
Kepler-106,29.229667 +/- 2.192225,3:2
Kepler-106,6.164860 +/- 0.308243,1:1
Kepler-106,13.570800 +/- 0.678540,1:1
Kepler-106,23.980200 +/- 1.199010,1:1
Kepler-106,43.844500 +/- 2.192225,1:1
Kepler-106,3.082430 +/- 0.308243,2:1
Kepler-106,6.785400 +/- 0.678540,2:1
Kepler-106,11.990100 +/- 1.199010,2:1
Kepler-106,21.922250 +/- 2.192225,2:1
Kepler-106,2.054953 +/- 0.308243,3:1
Kepler-106,4.523600 +/- 0.678540,3:1
Kepler-106,7.993400 +/- 1.199010,3:1
Kepler-106,14.614833 +/- 2.192225,3:1
Kepler-106,1.232972 +/- 0.308243,5:2
Kepler-106,2.465944 +/- 0.308243,5:2
Kepler-106,2.714160 +/- 0.678540,5:2
Kepler-106,5.428320 +/- 0.678540,5:2
Kepler-106,4.796040 +/- 1.199010,5:2
Kepler-106,9.592080 +/- 1.199010,5:2
Kepler-106,8.768900 +/- 2.192225,5:2
Kepler-106,17.537800 +/- 2.192225,5:2
Kepler-107,1.590011 +/- 0.159001,2:1
Kepler-107,2.450726 +/- 0.245073,2:1
Kepler-107,3.979195 +/- 0.397919,2:1
Kepler-107,7.374572 +/- 0.737457,2:1
Kepler-107,0.636004 +/- 0.159001,5:2
Kepler-107,1.272009 +/- 0.159001,5:2
Kepler-107,0.980290 +/- 0.245073,5:2
Kepler-107,1.960581 +/- 0.245073,5:2
Kepler-107,1.591678 +/- 0.397919,5:2
Kepler-107,3.183356 +/- 0.397919,5:2
Kepler-107,2.949829 +/- 0.737457,5:2
Kepler-107,5.899657 +/- 0.737457,5:2
Kepler-107,1.060007 +/- 0.159001,3:2
Kepler-107,2.120015 +/- 0.159001,3:2
Kepler-107,1.633817 +/- 0.245073,3:2
Kepler-107,3.267635 +/- 0.245073,3:2
Kepler-107,2.652797 +/- 0.397919,3:2
Kepler-107,5.305593 +/- 0.397919,3:2
Kepler-107,4.916381 +/- 0.737457,3:2
Kepler-107,9.832762 +/- 0.737457,3:2
Kepler-107,3.180022 +/- 0.159001,1:1
Kepler-107,4.901452 +/- 0.245073,1:1
Kepler-107,7.958390 +/- 0.397919,1:1
Kepler-107,14.749143 +/- 0.737457,1:1
Kepler-11,3.434633 +/- 0.515195,3:2
Kepler-11,6.869267 +/- 0.515195,3:2
Kepler-11,4.341367 +/- 0.651205,3:2
Kepler-11,8.682733 +/- 0.651205,3:2
Kepler-11,7.561500 +/- 1.134225,3:2
Kepler-11,15.123000 +/- 1.134225,3:2
Kepler-11,10.666533 +/- 1.599980,3:2
Kepler-11,21.333067 +/- 1.599980,3:2
Kepler-11,15.562933 +/- 2.334440,3:2
Kepler-11,31.125867 +/- 2.334440,3:2
Kepler-11,39.460233 +/- 5.919035,3:2
Kepler-11,78.920467 +/- 5.919035,3:2
Kepler-11,2.060780 +/- 0.515195,5:2
Kepler-11,4.121560 +/- 0.515195,5:2
Kepler-11,2.604820 +/- 0.651205,5:2
Kepler-11,5.209640 +/- 0.651205,5:2
Kepler-11,4.536900 +/- 1.134225,5:2
Kepler-11,9.073800 +/- 1.134225,5:2
Kepler-11,6.399920 +/- 1.599980,5:2
Kepler-11,12.799840 +/- 1.599980,5:2
Kepler-11,9.337760 +/- 2.334440,5:2
Kepler-11,18.675520 +/- 2.334440,5:2
Kepler-11,23.676140 +/- 5.919035,5:2
Kepler-11,47.352280 +/- 5.919035,5:2
Kepler-122,2.883097 +/- 0.288310,2:1
Kepler-122,6.232994 +/- 0.623299,2:1
Kepler-122,10.793738 +/- 1.079374,2:1
Kepler-122,18.996637 +/- 1.899664,2:1
Kepler-122,28.134000 +/- 2.813400,2:1
Kepler-122,1.922064 +/- 0.288310,3:2
Kepler-122,3.844129 +/- 0.288310,3:2
Kepler-122,4.155329 +/- 0.623299,3:2
Kepler-122,8.310659 +/- 0.623299,3:2
Kepler-122,7.195825 +/- 1.079374,3:2
Kepler-122,14.391650 +/- 1.079374,3:2
Kepler-122,12.664424 +/- 1.899664,3:2
Kepler-122,25.328849 +/- 1.899664,3:2
Kepler-122,18.756000 +/- 2.813400,3:2
Kepler-122,37.512000 +/- 2.813400,3:2
Kepler-122,5.766193 +/- 0.288310,1:1
Kepler-122,12.465988 +/- 0.623299,1:1
Kepler-122,21.587475 +/- 1.079374,1:1
Kepler-122,37.993273 +/- 1.899664,1:1
Kepler-122,56.268000 +/- 2.813400,1:1
Kepler-124,1.705247 +/- 0.170525,2:1
Kepler-124,6.910687 +/- 0.691069,2:1
Kepler-124,15.475426 +/- 1.547543,2:1
Kepler-124,1.136831 +/- 0.170525,3:1
Kepler-124,4.607125 +/- 0.691069,3:1
Kepler-124,10.316950 +/- 1.547543,3:1
Kepler-124,1.136831 +/- 0.170525,3:2
Kepler-124,2.273662 +/- 0.170525,3:2
Kepler-124,4.607125 +/- 0.691069,3:2
Kepler-124,9.214250 +/- 0.691069,3:2
Kepler-124,10.316950 +/- 1.547543,3:2
Kepler-124,20.633901 +/- 1.547543,3:2
Kepler-124,0.682099 +/- 0.170525,5:2
Kepler-124,1.364197 +/- 0.170525,5:2
Kepler-124,2.764275 +/- 0.691069,5:2
Kepler-124,5.528550 +/- 0.691069,5:2
Kepler-124,6.190170 +/- 1.547543,5:2
Kepler-124,12.380340 +/- 1.547543,5:2
Kepler-126,3.498570 +/- 0.524786,3:1
Kepler-126,7.289914 +/- 1.093487,3:1
Kepler-126,33.427711 +/- 5.014157,3:1
Kepler-126,2.099142 +/- 0.524786,5:2
Kepler-126,4.198284 +/- 0.524786,5:2
